from_id;to_id;type;duration
348;357;FD;0
391;392;FD;0
454;258;FD;0
283;297;FD;0
242;243;DDE;0
138;114;FD;0
467;454;FD;0
99;103;FD;0
398;397;FD;0
160;161;FDETT;0
252;236;DD;0
242;469;FD;0
215;216;FDETT;0
184;191;FD;0
362-B;405;FDE;0
364;370;FD;0
84;98;FD;0
16;427;FD;0
169;170;FDETT;0
4;247;FD;0
454;272;FD;0
330;386;FDETT;0
204;202;FDETT;0
376;403;DD;0
124;242;FD;0
348;356;FD;0
71;80;FD;0
454;263;FD;0
118;57;FD;0
468;FIN STD 1-2;FD;0
175;190;FDE;0
47;48;FDETT;0
410;FIN STD 1-2;FD;0
366;368;FD;0
67;129;FD;760
901;447;FD;0
118;63;FD;0
287;296;FD;0
407;409;FD;0
436;437;FDE;0
87;139;DDE;0
439;440;FDE;0
313;472;FD;0
72;80;FD;0
97;148;FD;0
42;69;FD;0
331;390;FDETT;0
441;FIN STD 1-2;FD;0
381;440;FD;0
80;454;FD;0
94;96;FD;0
278;236;FDE;0
374;376;FD;0
362;347;FD;0
431;FIN STD 1-2;FD;0
134;135;FDE;0
118;119;FDE;0
220;221;FDETT;0
155;156;FDETT;0
184;177;FDE;0
485;FIN STD 1-2;FD;0
389;FIN STD 1-2;FD;0
94;105;FD;0
356;349;FD;0
57;59;DDE;0
473;FIN STD 1-2;FD;0
28;29;FDE;0
99;101;FDE;0
228;229;FDE;0
74;71;FD;0
363;405;FD;0
380;379;FDE;0
385;399;FDE;0
259;CTRL AMF;FD;0
141;142;FDETT;0
79;250;FD;0
105;Retouches ROBOT;FD;0
198;178;FDE;0
428;FIN STD 1-2;FD;0
98;148;FD;0
3;CTRL ANTENNES SUP;FD;0
117;118;FDETT;0
149;151;FDETT;0
387;388;FD;0
357;350;FD;0
113;114;FDE;0
372;342;FD;0
145;146;FDETT;0
26;55;FD;0
60;125;FD;0
81;115;FD;0
361;352;FDE;0
370;366;FD;0
442;ARDROX;FD;0
447;FIN STD 1-2;FD;0
111;294;FD;0
445;318;FDE;0
188;197;FD;0
199;454;FD;0
127;128;FDETT;0
384;385;FDE;0
311;431;FD;0
443;247;FDE;0
386;455;FDETT;0
454;261;FD;0
151;32;FDETT;0
120;59;FD;0
264;265;FD;0
73;76;FD;0
212;454;FD;0
103;95;FDETT;0
48;49;FDE;0
3;244;FD;0
329;331;FD;0
188;212;FD;0
454;436;FD;0
350;358;FDE;0
76;137;FD;0
182;162;FD;0
383;440;FD;0
65;141;FDE;0
8;439;FD;0
388;392;FD;0
405;293;FDE;0
329;328;FDE;0
230;313;FDE;0
66;454;FD;0
395;398;FDE;0
16;444;FD;0
129;127;DDE;0
88;57;FD;0
417;483;FD;0
134;110;FD;0
